"Cancer"	"BOTH"	"ARID1A"	"PIK3CA"
"LAML"	21.6666666666667	12.5	35
"BLCA"	8.21917808219178	12.3287671232877	17.8082191780822
"LGG"	5.55555555555556	8.33333333333333	38.8888888888889
"BRCA"	2.31788079470199	1.98675496688742	33.112582781457
"CESC"	1.81818181818182	8.18181818181818	12.7272727272727
"COADREAD"	1.68539325842697	5.0561797752809	46.0674157303371
"GBM"	1.37614678899083	4.58715596330275	7.79816513761468
"HNSC"	0.921052631578947	1.97368421052632	36.0526315789474
"KIRC"	0.775193798449612	6.97674418604651	6.97674418604651
"KIRP"	0.321543408360129	1.60771704180064	29.5819935691318
"LUAD"	0.24330900243309	3.16301703163017	4.37956204379562
"LUSC"	0	0.53475935828877	0
"OV"	0	30.7692307692308	11.5384615384615
"PAAD"	0	0.425531914893617	12.3404255319149
"PRAD"	0	4.46428571428571	1.78571428571429
"SKCM"	0	14.2857142857143	7.14285714285714
"STAD"	0	0	7.31707317073171
"THCA"	0	5.26315789473684	3.94736842105263
"UCEC"	0	0	0.50125313283208
